[13] ['1/2', '1/2', '1/2', '1/2', '3/2'] -> 3/2 / (((1/2 * /2) * /2) * /2
)[22] ['1/2', '1/2', '1/2', '1/2', '5/2'] -> (1/2 + 5/2) / 1/2 / 1/2 / 1/2
[31] ['1/2', '1/2', '1/2', '1/2', '7/2'] -> (7/2 - 1/2) / 1/2 / 1/2 / 1/2
[50] ['1/2', '1/2', '1/2', '1/3', '1/6'] -> (1/2 + 1/2 / 1/3) / 1/2 / 1/6
[57] ['1/2', '1/2', '1/2', '1/3', '2/9'] -> 1/3 / (((1/2 * 1/2) - 2/9) * /2
)[64] ['1/2', '1/2', '1/2', '1/3', '4/5'] -> 1/2 / (1/3 - 1/2 * 1/2 / 4/5)
[69] ['1/2', '1/2', '1/2', '1/3', '5/4'] -> 1/2 / (1/3 - 1/2 * 1/2 * 5/4)
[84] ['1/2', '1/2', '1/2', '1/3', '8/5'] -> 1/2 / ((1/2 + 1/3) / 8/5 - 1/2)
[85] ['1/2', '1/2', '1/2', '1/3', '8/7'] -> 1/2 / ((1/2 - (1/2 / 8/7)) * /3
)[86] ['1/2', '1/2', '1/2', '1/3', '8/9'] -> 1/2 / (((1/2 / 8/9) - 1/2) * /3
)[93] ['1/2', '1/2', '1/2', '1/4', '1/5'] -> (1/2 + 1/2 / 1/5) / 1/2 / 1/4
[95] ['1/2', '1/2', '1/2', '1/4', '1/7'] -> (1/2 / 1/7 - 1/2) / 1/2 / 1/4
[103] ['1/2', '1/2', '1/2', '1/4', '3/4'] -> 3/4 / (((1/2 * /2) * /2) * /4
)[113] ['1/2', '1/2', '1/2', '1/4', '5/4'] -> (1/2 + 5/4 / 1/2) / 1/2 / 1/4
[114] ['1/2', '1/2', '1/2', '1/4', '5/6'] -> 1/2 / ((1/2 - (1/2 * 5/6)) * /4
)[118] ['1/2', '1/2', '1/2', '1/4', '6/5'] -> 1/2 / ((1/2 - (1/2 / 6/5)) * /4
)[119] ['1/2', '1/2', '1/2', '1/4', '6/7'] -> 1/2 / (((1/2 / 6/7) - 1/2) * /4
)[122] ['1/2', '1/2', '1/2', '1/4', '7/4'] -> (7/4 / 1/2 - 1/2) / 1/2 / 1/4
[124] ['1/2', '1/2', '1/2', '1/4', '7/6'] -> 1/2 / (((1/2 * 7/6) - 1/2) * /4
)[132] ['1/2', '1/2', '1/2', '1/4', '9/4'] -> (1/2 + (1/2 + 9/4) / 1/2) / 1/4
[136] ['1/2', '1/2', '1/2', '1/5', '1/5'] -> (1/2 / (1/5 * /5) - 1/2) / 1/2
[137] ['1/2', '1/2', '1/2', '1/5', '1/6'] -> (1/2 / 1/5 - 1/2) / 1/2 / 1/6
[149] ['1/2', '1/2', '1/2', '1/5', '3/8'] -> (1/2 + 1/2 / 1/5) / (1/2 - 3/8)
[156] ['1/2', '1/2', '1/2', '1/5', '5/4'] -> (5/4 / (1/2 * /5) - 1/2) / 1/2
[159] ['1/2', '1/2', '1/2', '1/5', '5/8'] -> (1/2 + 1/2 / 1/5) / (5/8 - 1/2)
[163] ['1/2', '1/2', '1/2', '1/5', '7/2'] -> (1/2 / 1/5 + 7/2) / 1/2 / 1/2
[175] ['1/2', '1/2', '1/2', '1/5', '9/4'] -> 1/2 + (1/2 + 9/4 / 1/5) / 1/2
[180] ['1/2', '1/2', '1/2', '1/6', '1/7'] -> (1/2 + 1/2 / 1/6) / 1/7 - 1/2
[182] ['1/2', '1/2', '1/2', '1/6', '1/9'] -> (1/2 + 1/6) / 1/2 / 1/2 / 1/9
[193] ['1/2', '1/2', '1/2', '1/6', '4/5'] -> 1/2 / (((1/2 / 4/5) - 1/2) * /6
)[195] ['1/2', '1/2', '1/2', '1/6', '4/9'] -> (1/2 + 1/6) / (1/2 - 4/9) / 1/2
[202] ['1/2', '1/2', '1/2', '1/6', '5/9'] -> (1/2 + 1/6) / (5/9 - 1/2) / 1/2
